"Date",Open,High,Low,Close
"2021-07-21 17:00:00",286.60,294.10,286.60,292.60
"2021-07-21 18:00:00",289.60,293.30,289.10,291.50
"2021-07-21 19:00:00",290.50,293.40,290.10,291.70
"2021-07-21 20:00:00",291.10,293.80,291.10,292.50
"2021-07-21 21:00:00",291.80,292.90,291.70,292.30
"2021-07-21 22:00:00",292.10,292.60,290.70,292.00
"2021-07-21 23:00:00",292.00,293.50,292.00,292.70
"2021-07-22 09:00:00",292.40,292.40,289.10,289.50
"2021-07-22 10:00:00",290.90,290.90,289.10,289.70
"2021-07-22 11:00:00",290.30,291.50,290.20,290.70
"2021-07-22 12:00:00",290.50,291.40,290.50,291.00
"2021-07-22 13:00:00",290.70,291.80,290.70,291.40
"2021-07-22 14:00:00",291.00,291.80,290.70,291.40
"2021-07-22 15:00:00",291.20,292.70,291.20,292.20
"2021-07-22 16:00:00",291.70,293.40,291.70,292.60
"2021-07-22 17:00:00",292.20,293.00,289.90,291.40
"2021-07-22 18:00:00",291.80,292.10,290.20,290.90
"2021-07-22 19:00:00",291.30,293.20,290.90,291.80
"2021-07-22 20:00:00",291.60,292.30,289.30,290.60
"2021-07-22 21:00:00",291.10,293.90,290.80,292.10
"2021-07-22 22:00:00",291.60,296.50,291.60,294.40
"2021-07-22 23:00:00",293.00,295.90,293.00,295.30
"2021-07-23 09:00:00",294.10,297.00,294.10,296.70
"2021-07-23 10:00:00",295.40,297.40,295.40,296.90
"2021-07-23 11:00:00",296.20,297.80,296.20,297.20
"2021-07-23 12:00:00",296.70,298.20,296.70,297.60
"2021-07-23 13:00:00",297.10,297.70,295.90,296.80
"2021-07-23 14:00:00",296.90,297.10,295.70,296.50
"2021-07-23 15:00:00",296.70,297.60,295.90,296.90
"2021-07-23 16:00:00",296.80,298.10,296.80,297.30
"2021-07-23 17:00:00",297.10,297.50,295.30,296.50
"2021-07-23 18:00:00",296.80,297.70,294.70,296.50
"2021-07-23 19:00:00",296.60,300.00,296.50,298.40
"2021-07-23 20:00:00",297.50,300.00,297.50,299.50
"2021-07-23 21:00:00",298.50,300.60,298.50,299.70
"2021-07-23 22:00:00",299.10,300.50,299.10,300.10
"2021-07-23 23:00:00",299.60,301.70,299.60,301.00
"2021-07-26 09:00:00",300.30,300.30,298.40,298.90
"2021-07-26 10:00:00",299.60,299.60,298.60,298.90
"2021-07-26 11:00:00",299.20,299.20,298.50,298.90
"2021-07-26 12:00:00",299.00,301.30,298.80,300.10
"2021-07-26 13:00:00",299.50,302.30,299.50,301.50
"2021-07-26 14:00:00",300.50,303.20,300.50,302.10
"2021-07-26 15:00:00",301.30,303.60,301.30,302.90
"2021-07-26 16:00:00",302.10,307.90,302.10,305.50
"2021-07-26 17:00:00",303.80,308.20,303.80,307.00
"2021-07-26 18:00:00",305.40,310.20,305.40,307.50
"2021-07-26 19:00:00",306.40,307.60,299.20,303.50
"2021-07-26 20:00:00",305.00,305.00,298.60,300.20
"2021-07-26 21:00:00",302.60,302.70,300.10,301.50
"2021-07-26 22:00:00",302.00,303.40,301.80,302.70
"2021-07-26 23:00:00",302.40,303.70,302.40,303.30
"2021-07-27 09:00:00",302.80,303.70,302.80,303.30
"2021-07-27 10:00:00",303.10,303.80,303.10,303.60
"2021-07-27 11:00:00",303.30,303.90,302.90,303.40
"2021-07-27 12:00:00",303.40,304.20,302.60,303.50
"2021-07-27 13:00:00",303.40,304.20,303.00,303.80
"2021-07-27 14:00:00",303.60,305.40,303.60,304.70
"2021-07-27 15:00:00",304.10,305.20,303.30,304.40
"2021-07-27 16:00:00",304.20,304.20,301.10,302.90
"2021-07-27 17:00:00",303.50,303.70,301.20,302.40
"2021-07-27 18:00:00",303.00,303.00,297.80,300.20
"2021-07-27 19:00:00",301.60,301.60,296.40,297.90
"2021-07-27 20:00:00",299.70,299.70,295.20,296.30
"2021-07-27 21:00:00",298.00,298.00,294.90,295.60
"2021-07-27 22:00:00",296.80,296.80,294.30,294.90
"2021-07-27 23:00:00",295.90,295.90,294.30,294.80
"2021-07-28 09:00:00",295.30,295.30,292.00,293.10
"2021-07-28 10:00:00",294.20,294.20,291.80,292.20
"2021-07-28 11:00:00",293.20,293.40,291.70,292.40
"2021-07-28 12:00:00",292.80,292.80,288.90,290.60
"2021-07-28 13:00:00",291.70,291.70,286.00,288.10
"2021-07-28 14:00:00",289.90,289.90,287.10,288.00
"2021-07-28 15:00:00",289.00,289.30,287.80,288.60
"2021-07-28 16:00:00",288.80,290.60,288.40,289.50
"2021-07-28 17:00:00",289.10,294.20,289.10,292.20
"2021-07-28 18:00:00",290.70,297.50,290.70,295.30
"2021-07-28 19:00:00",293.00,296.60,293.00,295.50
"2021-07-28 20:00:00",294.20,297.20,294.20,296.00
"2021-07-28 21:00:00",295.10,297.30,295.10,296.40
"2021-07-28 22:00:00",295.70,298.50,295.70,297.40
"2021-07-28 23:00:00",296.60,298.40,296.60,297.80
"2021-07-29 09:00:00",297.20,297.20,294.00,295.20
"2021-07-29 10:00:00",296.20,296.20,294.40,294.90
"2021-07-29 11:00:00",295.50,295.50,293.40,294.50
"2021-07-29 12:00:00",295.00,295.90,293.50,294.50
"2021-07-29 13:00:00",294.80,295.50,293.70,294.80
"2021-07-29 14:00:00",294.80,296.20,294.10,295.00
"2021-07-29 15:00:00",294.90,294.90,293.10,294.10
"2021-07-29 16:00:00",294.50,296.30,293.90,294.90
"2021-07-29 17:00:00",294.70,295.50,292.20,293.90
"2021-07-29 18:00:00",294.30,298.00,292.30,294.90
"2021-07-29 19:00:00",294.60,298.70,294.60,297.50
"2021-07-29 20:00:00",296.00,303.90,296.00,301.20
"2021-07-29 21:00:00",298.60,304.30,298.60,303.60
"2021-07-29 22:00:00",301.10,304.40,301.10,303.30
"2021-07-29 23:00:00",302.20,303.10,301.40,302.30
"2021-07-30 09:00:00",302.20,302.20,295.30,297.30
"2021-07-30 10:00:00",299.80,299.80,295.70,296.10
"2021-07-30 11:00:00",297.90,297.90,295.30,295.80
"2021-07-30 12:00:00",296.90,297.40,294.70,296.20
"2021-07-30 13:00:00",296.50,297.90,296.50,297.30
"2021-07-30 14:00:00",296.90,298.20,296.80,297.40
"2021-07-30 15:00:00",297.10,298.20,297.00,297.60
"2021-07-30 16:00:00",297.40,298.40,297.30,297.90
"2021-07-30 17:00:00",297.70,298.10,295.10,296.80
"2021-07-30 18:00:00",297.20,297.20,288.40,293.10
"2021-07-30 19:00:00",295.10,295.10,288.70,289.90
"2021-07-30 20:00:00",292.50,292.50,287.40,289.30
"2021-07-30 21:00:00",290.90,290.90,289.00,289.80
"2021-07-30 22:00:00",290.40,291.40,289.20,290.30
"2021-07-30 23:00:00",290.30,290.70,289.50,290.10
"2021-08-02 09:00:00",290.20,296.00,290.20,294.20
"2021-08-02 10:00:00",292.20,295.90,292.20,295.40
"2021-08-02 11:00:00",293.80,296.80,293.80,296.20
"2021-08-02 12:00:00",295.00,298.00,295.00,296.90
"2021-08-02 13:00:00",296.00,297.50,296.00,297.10
"2021-08-02 14:00:00",296.50,297.40,296.50,297.10
"2021-08-02 15:00:00",296.80,298.00,296.20,297.30
"2021-08-02 16:00:00",297.10,299.40,297.10,298.50
"2021-08-02 17:00:00",297.80,299.40,297.60,298.70
"2021-08-02 18:00:00",298.20,298.90,295.40,297.30
"2021-08-02 19:00:00",297.80,300.90,296.70,298.70
"2021-08-02 20:00:00",298.20,300.70,296.00,298.40
